GameID,Date,Opponent,Location,Points,FG%,Turnovers,Steals,Personal Fouls,Assists
001,2024-11-04,UMass,Home,71,35.6,16,19,13,15
002,2024-11-07,Indiana,Away,72,40.9,18,14,32,11
003,2024-11-10,Quinnipiac,Away,53,30.5,17,12,25,10
004,2024-11-14,Boston College,Home,78,37.5,22,5,16,13
005,2024-11-17,Maine,Away,83,52.7,7,17,20,16
006,2024-11-19,Northeastern,Home,89,56.3,11,14,16,22
007,2024-11-23,Northwestern,Away,75,38.1,13,7,17,17
008,2024-11-24,Illinois St.,Away,72,44.9,9,20,13
009,2024-11-27,Stony Brook,Away,60,40.4,8,13,14,16
010,2024-11-28,St.John's(NY),Away,54,36.8,18,7,15,6
011,2024-12-07,Rhode Island,Home,60,42.3,9,10,11,8
012,2024-12-21,Boston College,Home,86,43.8,24,11,12
013,2025-01-04,Yale,Away,61,32.4,7,12,18,11
014,2025-01-11,Princeton,Away,50,37.3,13,11,16,8
015,2025-01-18,Brown,Home,83,45.5,14,9,14,11
016,2025-01-20,Penn,Away,73,42.2,8,6,14,14
017,2025-01-25,Yale,Home,91,58.3,7,12,12,11
018,2025-01-31,Columbia,Home,71,45.8,18,7,16,6
019,2025-02-01,Cornell,Home,72,41.3,9,3,23,13
020,2025-02-08,Dartmouth,Home,66,45.8,13,9,15,14
021,2025-02-14,Cornell,Away,66,41.4,9,12,16,15
022,2025-02-16,Columbia,Away,60,45.7,22,13,19,18
023,2025-02-22,Brown,Away,60,38.3,11,6,17,13
024,2025-02-28,Princeton,Home,58,38.9,11,11,22,7
025,2025-03-01,Penn,Home,60,41.7,11,13,13,10
026,2025-03-08,Darthmouth,Away,74,47.7,5,10,16,14
027,2025-03-14,Princeton,Away,70,39.7,13,6,17,10
028,2025-03-15,Columbia,Away,74,49.2,8,7,12,18
029,2025-03-22,MichiganSt.,Away,50,27.7,20,10,25,9
